caller_id,receiver_id,timestamp,duration_seconds,tower_location
N01,N04,2026-08-02 22:21:53,847,L10
R17,R04,2026-07-29 08:20:06,775,L09
N20,N18,2026-08-10 11:49:00,967,L07
R34,R28,2026-06-11 02:49:55,605,L04
N02,N23,2026-06-15 02:17:18,525,L02
R24,R05,2026-08-21 09:53:17,806,L06
N05,N09,2026-06-05 03:24:22,126,L09
N23,N10,2026-08-17 09:02:25,1244,L02
R25,R24,2026-06-10 20:37:40,493,L08
R10,R16,2026-07-19 08:04:02,1174,L03
R33,R09,2026-08-18 15:02:05,580,L07
N20,N10,2026-08-29 05:26:06,412,L05
R24,R16,2026-08-28 05:34:53,1265,L05
R06,R18,2026-07-11 07:45:31,883,L08
N01,N05,2026-08-15 07:15:26,236,L07
R34,R20,2026-06-05 03:11:29,824,L10
N02,N21,2026-07-24 11:26:09,1374,L10
R02,R12,2026-06-25 20:49:21,647,L06
R18,R04,2026-07-03 00:38:30,166,L05
R17,R19,2026-06-30 20:37:09,30,L08
R06,R28,2026-06-09 18:53:48,778,L03
R33,R36,2026-06-02 20:24:36,977,L01
N01,N08,2026-06-19 03:24:13,56,L10
N18,R29,2026-06-08 12:25:24,884,L02
R32,R08,2026-06-09 20:16:02,1115,L03
N03,N16,2026-06-02 18:19:59,1119,L01
R21,R08,2026-08-28 06:53:00,842,L09
R18,R15,2026-08-13 10:58:17,1163,L10
N22,N23,2026-08-23 18:16:44,1227,L01
N02,N19,2026-07-07 17:38:36,691,L10
N03,N17,2026-07-11 11:57:57,812,L10
N01,N06,2026-06-03 10:50:48,585,L02
R21,R05,2026-07-02 23:46:43,101,L06
N02,N19,2026-07-04 04:49:37,1380,L07
R13,R28,2026-06-11 10:40:17,475,L03
N03,N17,2026-07-07 21:05:02,27,L06
R03,R28,2026-08-06 20:13:19,1251,L05
N01,N05,2026-08-11 10:40:41,481,L04
R22,R07,2026-08-19 13:13:54,916,L02
N22,N19,2026-07-04 13:56:26,1148,L09
N20,N22,2026-07-05 11:42:45,73,L08
R13,R24,2026-08-01 17:25:19,1183,L08
R36,R03,2026-07-12 09:20:23,659,L05
N02,N21,2026-07-26 07:05:39,362,L02
R10,R05,2026-06-12 11:36:08,1293,L10
N10,N08,2026-07-07 19:12:43,513,L05
N01,N05,2026-08-15 11:44:43,561,L03
R07,R23,2026-08-16 22:17:43,767,L02
R31,R26,2026-07-09 18:58:53,236,L08
R20,R32,2026-08-18 17:43:44,929,L09
N04,N01,2026-07-23 05:45:22,976,L08
R26,R03,2026-07-10 16:42:12,956,L02
R29,R27,2026-06-25 20:35:46,1064,L02
N01,N04,2026-07-27 21:20:29,695,L07
R35,R17,2026-08-12 15:57:15,240,L01
R10,R09,2026-06-04 11:39:15,982,L03
N11,N09,2026-08-20 02:37:07,580,L09
N02,N20,2026-07-01 01:35:14,15,L05
N03,N16,2026-06-28 20:53:13,180,L03
R31,R07,2026-06-22 14:03:26,1186,L06
R14,R15,2026-06-30 21:34:26,317,L10
R18,R10,2026-06-07 11:57:32,354,L05
N03,N18,2026-06-30 03:41:34,1133,L10
N20,R06,2026-07-25 20:07:32,887,L03
N03,N18,2026-07-01 00:01:55,873,L09
R25,R24,2026-06-24 01:58:19,48,L06
N01,N04,2026-08-02 16:28:56,499,L03
R20,R29,2026-06-04 00:52:05,762,L03
R33,R36,2026-08-15 20:02:44,740,L02
R05,R30,2026-08-22 18:06:09,633,L07
N02,N23,2026-06-20 22:06:11,463,L03
R36,R24,2026-06-09 05:13:17,823,L01
N10,N23,2026-08-25 21:53:30,1321,L08
N03,N15,2026-08-23 18:32:19,1082,L08
R34,R11,2026-07-04 02:45:11,594,L07
N02,N21,2026-07-25 22:13:35,920,L04
R28,R20,2026-07-22 17:53:12,138,L10
R30,R05,2026-06-11 02:06:49,1038,L10
R19,R22,2026-08-13 04:26:37,974,L02
R33,R18,2026-08-15 13:45:07,541,L08
R29,R15,2026-07-08 15:46:07,943,L07
N01,N04,2026-08-04 12:00:50,377,L07
N11,N06,2026-07-15 08:48:32,741,L05
R16,R32,2026-08-23 01:37:06,308,L04
N24,N14,2026-07-15 11:03:14,507,L08
R29,R32,2026-06-12 01:11:40,1305,L10
R19,R03,2026-06-22 01:32:38,594,L08
N22,N23,2026-08-18 09:12:12,547,L01
R10,R19,2026-07-10 01:27:27,1274,L06
N02,N20,2026-07-01 14:33:44,631,L07
R07,R14,2026-07-27 22:07:29,556,L02
R16,R04,2026-06-25 23:37:44,132,L02
R08,R09,2026-06-05 03:02:14,91,L05
R30,R17,2026-07-12 19:42:07,1380,L01
R27,R11,2026-08-14 08:05:25,1253,L03
R10,R05,2026-07-13 17:22:02,557,L06
N17,N03,2026-08-08 13:11:14,406,L05
N03,N16,2026-06-22 22:23:07,799,L03
R29,R15,2026-07-19 14:16:49,648,L08
R04,R01,2026-06-19 14:27:36,447,L03
