sender_id,receiver_id,amount,timestamp,mode
R36,R12,30000,2026-07-27 23:10:08,bank_transfer
R08,R13,60000,2026-07-24 21:25:25,cash
R04,R31,2500,2026-07-30 23:52:37,cash
R36,R31,2500,2026-06-06 02:33:18,bank_transfer
N03,N20,10000,2026-07-31 10:01:04,bank_transfer
N02,N04,15000,2026-07-01 11:19:55,cash
R13,R36,10000,2026-06-20 17:57:50,UPI
N02,N05,60000,2026-08-01 02:54:12,UPI
N02,N06,5000,2026-08-17 20:25:03,UPI
N17,N23,5000,2026-08-10 01:19:58,bank_transfer
R26,R22,30000,2026-08-16 14:05:01,UPI
R10,R28,5000,2026-08-11 19:20:37,UPI
R09,R06,45000,2026-06-18 01:15:49,bank_transfer
R17,R16,45000,2026-08-05 14:26:39,bank_transfer
R11,R06,30000,2026-07-16 11:41:26,bank_transfer
R18,R35,2500,2026-07-22 06:42:19,cash
R36,R16,7500,2026-07-23 01:09:41,bank_transfer
N01,N09,2500,2026-07-14 21:14:10,bank_transfer
R09,R27,30000,2026-07-05 01:49:21,UPI
N01,N13,22000,2026-06-23 03:57:43,bank_transfer
N03,N22,60000,2026-08-25 16:08:51,bank_transfer
N01,N11,5000,2026-08-11 00:34:11,cash
N15,N17,5000,2026-08-04 01:01:30,bank_transfer
N09,N13,15000,2026-06-22 10:22:42,UPI
R21,R13,7500,2026-07-14 14:09:26,UPI
R04,R01,10000,2026-07-08 12:39:52,cash
R23,R08,60000,2026-06-17 05:47:11,UPI
N03,N21,2500,2026-07-12 11:58:26,UPI
R28,R23,60000,2026-08-03 17:38:26,cash
N02,N06,7500,2026-08-24 01:28:09,UPI
R32,R04,30000,2026-08-28 11:28:54,bank_transfer
R26,R30,10000,2026-07-22 09:57:53,UPI
R03,R26,60000,2026-07-10 22:41:41,cash
R10,R02,30000,2026-06-24 17:31:50,UPI
R25,R06,60000,2026-08-02 03:04:59,cash
N04,N15,30000,2026-06-28 22:03:54,bank_transfer
R32,R30,22000,2026-06-16 07:25:20,cash
R06,R07,22000,2026-08-09 23:23:44,cash
N03,N22,2500,2026-08-30 01:58:24,UPI
N01,N13,7500,2026-06-18 21:11:04,UPI
R21,R16,7500,2026-06-28 11:03:12,bank_transfer
R22,R07,2500,2026-08-21 10:13:26,cash
N09,N01,5000,2026-08-07 20:50:13,cash
N15,N04,45000,2026-08-01 21:45:53,cash
N02,N05,15000,2026-08-07 14:46:26,UPI
N01,N12,7500,2026-06-16 14:23:13,bank_transfer
R26,R21,15000,2026-06-03 16:42:08,UPI
R31,R26,30000,2026-07-19 15:03:30,bank_transfer
R31,R21,22000,2026-08-23 04:53:52,UPI
R32,R15,30000,2026-07-03 09:05:29,UPI
N11,N17,50000,2026-06-15 18:53:14,UPI
R28,R12,5000,2026-06-10 17:43:25,bank_transfer
N02,N06,15000,2026-08-24 21:45:02,bank_transfer
R09,R35,60000,2026-07-15 10:28:58,bank_transfer
N10,N19,2500,2026-08-05 18:46:31,UPI
R21,R02,7500,2026-08-27 11:50:55,bank_transfer
